the	7.73
to	7.43
and	7.41
of	7.40
in	7.27
is	7.07
for	7.01
that	7.01
you	6.98
it	6.95
on	6.91
with	6.85
was	6.82
this	6.82
be	6.79
as	6.77
are	6.74
have	6.71
at	6.70
he	6.69
not	6.69
by	6.66
from	6.63
but	6.63
my	6.57
or	6.54
we	6.54
an	6.53
your	6.53
all	6.52
so	6.52
his	6.51
they	6.50
me	6.48
one	6.47
if	6.47
can	6.46
will	6.45
just	6.43
like	6.41
about	6.40
up	6.39
out	6.38
what	6.38
has	6.37
when	6.37
more	6.36
no	6.35
do	6.35
were	6.34
who	6.34
had	6.33
their	6.33
there	6.31
which	6.30
her	6.30
time	6.29
get	6.28
been	6.27
would	6.27
she	6.26
new	6.25
people	6.25
how	6.24
some	6.20
also	6.19
them	6.19
now	6.18
other	6.16
its	6.14
our	6.14
than	6.13
only	6.12
good	6.12
after	6.11
first	6.11
into	6.11
him	6.11
two	6.10
see	6.10
know	6.10
over	6.08
make	6.08
think	6.08
then	6.07
any	6.07
could	6.06
us	6.04
back	6.04
these	6.04
want	6.04
because	6.03
well	6.03
go	6.03
said	6.01
way	6.01
most	6.00
where	6.00
much	6.00
very	6.00
even	5.99
should	5.99
may	5.98
here	5.97
need	5.97
really	5.97
year	5.96
years	5.96
did	5.96
work	5.96
right	5.96
day	5.95
being	5.95
too	5.95
going	5.94
before	5.93
off	5.93
why	5.93
made	5.92
still	5.92
take	5.92
many	5.91
never	5.91
got	5.91
those	5.90
world	5.89
say	5.89
life	5.89
down	5.88
great	5.88
through	5.87
last	5.86
while	5.86
such	5.84
best	5.84
man	5.82
love	5.82
home	5.81
long	5.81
use	5.81
something	5.81
look	5.81
used	5.80
same	5.80
both	5.79
every	5.79
three	5.78
state	5.78
part	5.78
come	5.78
am	5.78
between	5.77
around	5.77
better	5.76
find	5.76
always	5.76
since	5.75
high	5.75
old	5.75
help	5.75
little	5.75
another	5.74
does	5.74
own	5.74
things	5.74
under	5.73
during	5.72
game	5.72
thing	5.72
school	5.71
house	5.71
place	5.71
give	5.71
next	5.70
again	5.70
each	5.69
without	5.69
mr	5.69
against	5.68
end	5.68
found	5.68
show	5.68
must	5.68
team	5.67
big	5.67
feel	5.67
sure	5.67
family	5.66
put	5.66
might	5.66
keep	5.66
ever	5.66
please	5.66
money	5.64
second	5.63
free	5.63
someone	5.63
left	5.62
number	5.62
away	5.62
city	5.61
until	5.61
days	5.61
play	5.61
name	5.61
night	5.61
lot	5.61
company	5.60
few	5.60
real	5.60
let	5.60
doing	5.60
called	5.59
set	5.59
different	5.59
having	5.59
thought	5.59
however	5.58
done	5.58
government	5.57
group	5.57
public	5.57
top	5.57
women	5.57
looking	5.57
getting	5.57
god	5.57
week	5.56
times	5.56
business	5.56
system	5.56
start	5.56
care	5.56
case	5.55
today	5.55
already	5.55
person	5.55
nothing	5.55
anything	5.55
told	5.54
point	5.54
making	5.54
change	5.54
full	5.54
yet	5.54
enough	5.54
live	5.54
everything	5.54
read	5.54
four	5.53
support	5.53
once	5.53
hard	5.53
bad	5.53
tell	5.53
mean	5.53
states	5.52
including	5.52
power	5.52
music	5.52
water	5.52
seen	5.52
stop	5.52
national	5.51
based	5.51
took	5.51
white	5.51
men	5.51
small	5.51
head	5.51
call	5.51
believe	5.51
came	5.50
far	5.50
went	5.50
though	5.50
side	5.50
job	5.50
try	5.50
yes	5.50
american	5.49
party	5.49
later	5.49
says	5.49
service	5.49
run	5.49
line	5.49
less	5.49
order	5.49
actually	5.49
country	5.48
season	5.48
open	5.48
thank	5.48
shit	5.48
united	5.47
general	5.47
children	5.47
trying	5.47
using	5.47
everyone	5.47
war	5.46
area	5.46
law	5.46
following	5.46
black	5.46
together	5.46
makes	5.46
whole	5.46
president	5.45
five	5.45
working	5.45
story	5.45
per	5.45
car	5.45
face	5.45
kind	5.45
maybe	5.45
news	5.44
games	5.44
least	5.44
health	5.44
within	5.44
important	5.44
course	5.44
hope	5.44
means	5.44
early	5.43
local	5.43
information	5.43
young	5.43
book	5.43
post	5.43
able	5.43
video	5.43
friends	5.43
thanks	5.43
oh	5.43
ago	5.42
others	5.42
social	5.42
talk	5.42
court	5.41
half	5.41
given	5.41
often	5.41
level	5.41
single	5.41
hand	5.41
fact	5.41
mind	5.41
guys	5.41
south	5.40
office	5.40
death	5.40
become	5.40
control	5.40
food	5.40
hours	5.40
pay	5.40
body	5.40
problem	5.40
coming	5.40
true	5.40
guy	5.40
several	5.39
university	5.39
known	5.39
history	5.39
win	5.39
lost	5.39
large	5.39
research	5.39
started	5.39
taking	5.39
almost	5.39
room	5.39
wrong	5.39
fuck	5.39
john	5.38
along	5.38
matter	5.38
anyone	5.38
else	5.38
girl	5.38
pretty	5.38
remember	5.38
york	5.37
air	5.37
saying	5.37
hit	5.37
playing	5.37
probably	5.37
needs	5.37
friend	5.37
bit	5.37
understand	5.37
nice	5.37
yeah	5.37
international	5.36
past	5.36
close	5.36
possible	5.36
wanted	5.36
class	5.36
comes	5.36
idea	5.36
looks	5.36
members	5.35
months	5.35
series	5.35
due	5.35
human	5.35
move	5.35
woman	5.35
question	5.35
cause	5.35
happy	5.35
wait	5.35
north	5.34
late	5.34
community	5.34
special	5.34
saw	5.34
leave	5.34
data	5.34
ask	5.34
watch	5.34
million	5.33
police	5.33
taken	5.33
future	5.33
short	5.33
low	5.33
morning	5.33
light	5.33
either	5.33
stay	5.33
fucking	5.33
third	5.32
report	5.32
whether	5.32
deal	5.32
age	5.32
red	5.32
soon	5.32
rather	5.32
turn	5.32
buy	5.32
reason	5.32
among	5.31
development	5.31
further	5.31
services	5.31
minutes	5.31
form	5.31
heart	5.31
check	5.31
myself	5.31
yourself	5.31
major	5.30
although	5.30
asked	5.30
players	5.30
fire	5.30
media	5.30
act	5.30
living	5.30
child	5.30
phone	5.30
fun	5.30
political	5.29
market	5.29
six	5.29
west	5.29
near	5.29
plan	5.29
building	5.29
behind	5.29
art	5.29
works	5.29
non	5.29
easy	5.29
quite	5.29
talking	5.29
gonna	5.29
former	5.28
according	5.28
final	5.28
street	5.28
son	5.28
education	5.28
front	5.28
list	5.28
available	5.28
sometimes	5.28
ready	5.28
kids	5.28
program	5.27
college	5.27
london	5.27
current	5.27
meet	5.27
example	5.27
bring	5.27
experience	5.27
heard	5.27
type	5.27
march	5.26
process	5.26
father	5.26
study	5.26
song	5.26
chance	5.26
word	5.26
baby	5.26
month	5.25
across	5.25
students	5.25
outside	5.25
action	5.25
gave	5.25
himself	5.25
clear	5.25
words	5.25
self	5.25
gets	5.25
held	5.24
town	5.24
main	5.24
board	5.24
road	5.24
field	5.24
cut	5.24
cost	5.24
instead	5.24
mother	5.24
wants	5.24
seems	5.24
moment	5.24
thinking	5.24
dr	5.24
points	5.23
played	5.23
de	5.23
force	5.23
department	5.23
issue	5.23
term	5.23
results	5.23
price	5.23
energy	5.23
wife	5.23
summer	5.23
running	5.23
fight	5.23
space	5.23
shows	5.23
rest	5.23
fine	5.23
re	5.23
hear	5.23
killed	5.22
america	5.22
strong	5.22
site	5.22
land	5.22
shot	5.22
project	5.22
date	5.22
goes	5.22
sex	5.22
miss	5.22
beautiful	5.22
june	5.21
record	5.21
total	5.21
include	5.21
period	5.21
position	5.21
similar	5.21
especially	5.21
parents	5.21
account	5.21
co	5.21
eyes	5.21
military	5.20
security	5.20
won	5.20
film	5.20
lead	5.20
died	5.20
club	5.20
share	5.20
likely	5.20
tv	5.20
common	5.20
personal	5.20
above	5.20
knew	5.20
happened	5.20
perfect	5.20
st	5.20
center	5.19
county	5.19
april	5.19
rights	5.19
industry	5.19
return	5.19
weeks	5.19
issues	5.19
player	5.19
problems	5.19
private	5.19
english	5.19
test	5.19
star	5.19
dead	5.19
hold	5.19
inside	5.19
view	5.19
online	5.19
couple	5.19
sense	5.19
happen	5.19
british	5.18
companies	5.18
member	5.18
higher	5.18
middle	5.18
result	5.18
event	5.18
training	5.18
needed	5.18
present	5.18
break	5.18
takes	5.18
hour	5.18
wish	5.18
sorry	5.18
july	5.17
policy	5.17
interest	5.17
king	5.17
gold	5.17
society	5.17
finally	5.17
design	5.17
gone	5.17
boy	5.17
girls	5.17
answer	5.17
learn	5.17
guess	5.17
bank	5.16
added	5.16
al	5.16
east	5.16
press	5.16
received	5.16
church	5.16
role	5.16
park	5.16
average	5.16
sent	5.16
medical	5.16
worked	5.16
brought	5.16
performance	5.16
